organization,address,region,phone,website,notes,drive_radius,population,households,median_income,latitude,longitude,status,last_updated
Asphalt Green - Battery Park City,"212 N End Ave New York, NY 10282",,(212) 298-2900,asphaltgreen.org,,1 mi,80725,39200,179146,40.7159868,-74.0149055,initial contact,1/8/2025 20:50
Onelife Fitness - Tysons,"8250 Greensboro Dr Mclean, VA 22102",,(703) 442-9150,onelifefitness.com,Onelife is a chain,7 mi,320644,124389,152862,38.94869812960199,-77.23659666,in discussion,1/8/2025 16:46
Onelife Fitness - McLean,"1800 Old Meadow Rd McLean, VA 22102",,(703) 556-6550,onelifefitness.com,Onelife is a chain,7 mi,352225,135553,148121,38.94869812960199,-77.23659666,initial contact,1/8/2025 20:50
The Riekes Center,"3455 Edison Way Menlo Park, CA 94025",,(650) 364-2509,riekes.org,"More of a community center, but privately run",7 mi,322602,118245,147588,37.45312533013393,-122.1814779,initial contact,1/8/2025 20:50
PRO Club Bellevue,"4455 148th Ave NE Bellevue, WA 98007",,(425) 885-5566,https://www.proclub.com/club/locations/bellevue,PRO Club is a fancy chain,7 mi,304254,127498,141065,47.6515,-122.1452087,initial contact,1/8/2025 21:59
Oakwood Athletic Club,"4000 Mt Diablo Blvd Lafayette, CA 94549",,(925) 283-4000,oakwoodathleticclub.com,,7 mi,137426,59167,137733,37.891724945313946,-122.1214771,in discussion,1/8/2025 21:59
Jewish Community Center of San Francisco - JCCSF,"3200 California St San Francisco, CA 94118",,(415) 292-1200,jccsf.org,,7 mi,871228,382507,123431,37.787385400000005,-122.4478439,in discussion,1/8/2025 20:50
Onelife Fitness - Pike & Rose,"11594 Old Georgetown Rd Rockville, MD 20852",,(301) 245-3908,onelifefitness.com,Onelife is a chain,7 mi,485539,193406,121657,39.0485,-77.1277,not contacted,1/3/2025 22:05
Onelife Fitness - Bethesda,"4400 Montgomery Ave Bethesda, MD 20814",,(301) 656-9570,onelifefitness.com,,7 mi,739503,320456,117104,38.9927155,-77.0877395,in discussion,1/8/2025 20:50
Achieve Sports Center,"22675 E Aurora Pkwy Aurora, CO 80016",,(720) 330-2200,achievesports.com,,7 mi,201687,71139,116270,39.57580535,-104.724855,not contacted,1/3/2025 22:05
